filename,item,importance,original_text
Brussels_Town_Board_2026-05-13.pdf,Shipping Container Ordinance,medium,b. Shipping Container Ordinance
Brussels_Town_Board_2026-05-13.pdf,Update from Kyle (Zoning) regarding Sewer in Town,medium,c. Update from Kyle (Zoning) regarding Sewer in Town
Brussels_Town_Board_2026-05-13.pdf,Town Roads,medium,12. Town Roads
Brussels_Town_Board_2026-05-13.pdf,Consideration of Seal Coating bids,medium,a. Consideration of Seal Coating bids
Brussels_Town_Board_2026-05-13.pdf,Other Road Overlay bids,medium,b. Other Road Overlay bids
Brussels_Town_Board_2026-05-13.pdf,Local Road Improvement Program: Low Road,medium,c. Local Road Improvement Program: Low Road
Brussels_Town_Board_2026-05-13.pdf,Ag Road Improvement Program: Brussels Road resubmitted,medium,d. Ag Road Improvement Program: Brussels Road resubmitted
Brussels_Town_Board_2026-05-13.pdf,Repairs needed?,medium,a. Repairs needed?
Brussels_Town_Board_2026-05-13.pdf,Town Park,medium,15. Town Park
Brussels_Town_Board_2026-05-13.pdf,"Town Hall, Website: townofbrussels.com",medium,"Town Hall, Website: townofbrussels.com"
Brussels_Town_Board_2026-05-13.pdf,Discussion and action may occur on any agenda item unless otherwise noted. Deviation from order may occur. Any person wishing to attend t...,medium,"Discussion and action may occur on any agenda item unless otherwise noted. Deviation from order may occur. Any person wishing to attend this meeting who, because of disability, requires special"
Carlton_Town_Board_2026-05-12.pdf,"LOCATION: Town hall DATE: May 12, 2026 TIME: 6:00 PM",medium,"LOCATION: Town hall DATE: May 12, 2026 TIME: 6:00 PM"
Carlton_Town_Board_2026-05-12.pdf,SURVEY MAP APPROVAL Jason Walechka Constable 255-1261 ROADS AND BRIDGES SHERIFF S REPORT,medium,SURVEY MAP APPROVAL Jason Walechka Constable 255-1261 ROADS AND BRIDGES SHERIFF S REPORT
Carlton_Town_Board_2026-05-12.pdf,BAR & BARTENDERS LICENSE APPROVAL Steve Sinkula,medium,BAR & BARTENDERS LICENSE APPROVAL Steve Sinkula
Carlton_Town_Board_2026-05-12.pdf,Sealcoating bids.,medium,1. Sealcoating bids.
Carlton_Town_Board_2026-05-12.pdf,Crack filling bid.,medium,2. Crack filling bid.
Carlton_Town_Board_2026-05-12.pdf,TischMills Fire Contract.,medium,4. TischMills Fire Contract.
Cicero_Town_Board_2026-05-14.pdf,Cicero Town Hall 7:00 p.m.,medium,Cicero Town Hall 7:00 p.m.
Cicero_Town_Board_2026-05-14.pdf,RIGHT OF WAY PERMIT- CNS NETWORKS ON BEHALF OF BRIGHTSPEED,medium,3. RIGHT OF WAY PERMIT- CNS NETWORKS ON BEHALF OF BRIGHTSPEED
Cicero_Town_Board_2026-05-14.pdf,ROAD WORK FOR 2026 DISCUSSION,medium,10. ROAD WORK FOR 2026 DISCUSSION
Cicero_Town_Board_2026-05-14.pdf,AMEND RESOLUTION 5.01 BUILDING PERMIT FEE SCHEDULE,medium,12. AMEND RESOLUTION 5.01 BUILDING PERMIT FEE SCHEDULE
Cicero_Town_Board_2026-05-14.pdf,RESOLUTION 1.30 SUPPORTING A COMPREHENSIVE & SUSTAINABLE TRANSPORTATION FUNDING SOLUTION,medium,13. RESOLUTION 1.30 SUPPORTING A COMPREHENSIVE & SUSTAINABLE TRANSPORTATION FUNDING SOLUTION
Cicero_Town_Board_2026-05-14.pdf,Discussion and action may occur on any of the above agenda items.,medium,Discussion and action may occur on any of the above agenda items.
Clay_Banks_Town_Board_2026-05-15.pdf,WHERE: Clay Banks Town Hall WHAT: Joint Clay Banks Broadband Committee & Special Town Board Meeting,medium,WHERE: Clay Banks Town Hall WHAT: Joint Clay Banks Broadband Committee & Special Town Board Meeting
Clay_Banks_Town_Board_2026-05-15.pdf,Broadband Committee Business.,medium,V. Broadband Committee Business.
Clay_Banks_Town_Board_2026-05-15.pdf,Broadband Discussion and Recommendations.,medium,A. Broadband Discussion and Recommendations.
Clay_Banks_Town_Board_2026-05-15.pdf,Road Projects.,medium,B. Road Projects.
Clay_Banks_Town_Board_2026-05-15.pdf,"Clay Banks Town Hall on____________________________________. ______________________________ Jessica Bongle, Clerk",medium,"Clay Banks Town Hall on____________________________________. ______________________________ Jessica Bongle, Clerk"
Clay_Banks_Town_Board_2026-05-18.pdf,WHERE: Clay Banks Town Hall WHAT: Town Broadband Committee Meeting,medium,WHERE: Clay Banks Town Hall WHAT: Town Broadband Committee Meeting
Clay_Banks_Town_Board_2026-05-18.pdf,Broadband Discussion and Recommendations.,medium,A. Broadband Discussion and Recommendations.
Clay_Banks_Town_Board_2026-05-18.pdf,"Clay Banks Town Hall on____________________________________. ______________________________ Jessica Bongle, Clerk",medium,"Clay Banks Town Hall on____________________________________. ______________________________ Jessica Bongle, Clerk"
Doty_Town_Board_2026-05-12.docx,"Tuesday, May 12th, 2026 7:00 pm Doty Town Hall",medium,"Tuesday, May 12th, 2026 7:00 pm Doty Town Hall"
Doty_Town_Board_2026-05-12.docx,NOTE: Agenda items may or may not be taken up in the order listed. Discussion and action may be taken on the listed issues. _____________...,medium,NOTE: Agenda items may or may not be taken up in the order listed. Discussion and action may be taken on the listed issues. ______________________ Upcoming meetings
Doty_Town_Board_2026-05-12.docx,"Doty Town Board Tuesday, June 9th, 2026, 7:00 pm (town hall)",medium,"Doty Town Board Tuesday, June 9th, 2026, 7:00 pm (town hall)"
Doty_Town_Board_2026-05-12.docx,"Open bids Thursday, May 28th, 2026, 12:00 pm (noon) (town hall)",medium,"Open bids Thursday, May 28th, 2026, 12:00 pm (noon) (town hall)"
Doty_Town_Board_2026-05-12.docx,"Open book Tuesday, May 19th, 2026, 2 pm to 4 pm (town hall)",medium,"Open book Tuesday, May 19th, 2026, 2 pm to 4 pm (town hall)"
Doty_Town_Board_2026-05-12.docx,"BOR Wednesday, June 3rd, 2026, 6:15 pm (town hall)",medium,"BOR Wednesday, June 3rd, 2026, 6:15 pm (town hall)"
Doty_Town_Board_2026-05-12.docx,"STR comission Monday, June 8th, 2026, 12:30 pm (Breed town hall)",medium,"STR comission Monday, June 8th, 2026, 12:30 pm (Breed town hall)"
Forestville_Town_Board_2026-05-18.pdf,"Forestville Town Hall, 7701 County Road H, Maplewood, WI Kevin Guilette, Chairman To attend the meeting via computer: Go to: https://us06...",medium,"Forestville Town Hall, 7701 County Road H, Maplewood, WI Kevin Guilette, Chairman To attend the meeting via computer: Go to: https://us06web.zoom.us/j/5728625515?pwd=K2ZZdHB6UmdFaFJ FNnJMSjJCUktZdz09&omn=89031275882 ____________________________ David Samuels, Supervisor Meeting ID: 572 862 5515 Passcode: 475852 ____________________________ To connect via phone: Call 1-312-626-6799 Loren Uecker, Supervisor To find other available phone numbers, Go to: https://us06web.zoom.us/meetings/89031275882/invitations?sign ature=v9CzBpdbsTJpjCLxKFd_xyC6db8dCZmabMNpcf_1Ocg"
Green_Valley_Town_Board_2026-05-13.pdf,Road Report & Work,medium,8. Road Report & Work
Green_Valley_Town_Board_2026-05-13.pdf,Road Tour notes,medium,a. Road Tour notes
Green_Valley_Town_Board_2026-05-13.pdf,Discuss Tom Smith building permits for accessory buildings,medium,a. Discuss Tom Smith building permits for accessory buildings
Green_Valley_Town_Board_2026-05-13.pdf,Resolution for an alternative to the current county plan for the courthouse/jail Master plan,medium,b. Resolution for an alternative to the current county plan for the courthouse/jail Master plan
Green_Valley_Town_Board_2026-05-13.pdf,* discussion and action may occur on any of the above agenda items It is possible that members of and possibly a quorum of members of ano...,medium,* discussion and action may occur on any of the above agenda items It is possible that members of and possibly a quorum of members of another committee may be in attendance at the above
Hortonville_Village_Board_2026-05-18.docx,Watershed expansion discussion,medium,Watershed expansion discussion
Liberty_Town_Board_2026-05-18.pdf,"English Lake Road Email:liberty@lakefield.net Valders, WI 54245 AGENDA",medium,"13812 English Lake Road Email:liberty@lakefield.net Valders, WI 54245 AGENDA"
Liberty_Town_Board_2026-05-18.pdf,"Road Bid Opening Meeting Monday, May 18, 2026",medium,"Road Bid Opening Meeting Monday, May 18, 2026"
Liberty_Town_Board_2026-05-18.pdf,Liberty Town Hall 6:00 P.M.,medium,Liberty Town Hall 6:00 P.M.
Liberty_Town_Board_2026-05-18.pdf,"Open sealed bids, discuss, and take possible action to award contracts. Discussions and possible actions on the observations from the Apr...",medium,"Open sealed bids, discuss, and take possible action to award contracts. Discussions and possible actions on the observations from the April 23rd"
Liberty_Town_Board_2026-05-18.pdf,Road Inspections meeting.,medium,Road Inspections meeting.
Liberty_Town_Board_2026-05-18.pdf,Discussions on road funding.,medium,Discussions on road funding.
Maine_Town_Board_2026-05-13.pdf,"Maine, County of Outagamie, will be held at the Town Hall Meeting Room on Wednesday, May 13, 2026 at 6:30 p.m. Agenda to include",medium,"Maine, County of Outagamie, will be held at the Town Hall Meeting Room on Wednesday, May 13, 2026 at 6:30 p.m. Agenda to include:"
Maine_Town_Board_2026-05-13.pdf,Road Work,medium,7. Road Work
Maine_Town_Board_2026-05-13.pdf,Road Bid Notice,medium,a. Road Bid Notice
Maine_Town_Board_2026-05-13.pdf,Miscellaneous Road Work,medium,b. Miscellaneous Road Work
Maine_Town_Board_2026-05-13.pdf,Resolution No. 01-2026 Supporting a Comprehensive & Sustainable Transportation Funding Solution,medium,10. Resolution No. 01-2026 Supporting a Comprehensive & Sustainable Transportation Funding Solution
Maine_Town_Board_2026-05-13.pdf,Town Hall Internet Service Update,medium,13. Town Hall Internet Service Update
Morrison_Town_Board_2026-05-12.pdf,"Morrison Town Hall, 3792 Park Rd at 7:30 p.m.",medium,"Morrison Town Hall, 3792 Park Rd at 7:30 p.m."
Morrison_Town_Board_2026-05-12.pdf,"Constable Report, discuss/act on contract to take dogs to the humane society",medium,"7. Constable Report, discuss/act on contract to take dogs to the humane society"
Morrison_Town_Board_2026-05-12.pdf,"Discuss/act on the temporary beer license for WayMor Youth Sports May 28-31, 2026",medium,"10. Discuss/act on the temporary beer license for WayMor Youth Sports May 28-31, 2026"
Morrison_Town_Board_2026-05-12.pdf,Discuss/act on Resolution 02-2026 to increase the maximum fee for court costs for the Joint Municipal Court,medium,12. Discuss/act on Resolution 02-2026 to increase the maximum fee for court costs for the Joint Municipal Court
Morrison_Town_Board_2026-05-12.pdf,Discuss/act on County Rescue notice/contract,medium,13. Discuss/act on County Rescue notice/contract
Morrison_Town_Board_2026-05-12.pdf,Discuss/act to set the reconstruction meeting/any updates on the Hill Rd project,medium,14. Discuss/act to set the reconstruction meeting/any updates on the Hill Rd project
Morrison_Town_Board_2026-05-12.pdf,Discuss/act on roads that need gravel in 2026,medium,15. Discuss/act on roads that need gravel in 2026
Morrison_Town_Board_2026-05-12.pdf,Discuss/act on a policy when or if roads should be video/checked before a hauling permit is,medium,17. Discuss/act on a policy when or if roads should be video/checked before a hauling permit is
Morrison_Town_Board_2026-05-12.pdf,issued & to purchase memory or a device for recording,medium,issued & to purchase memory or a device for recording
Morrison_Town_Board_2026-05-14.pdf,"MORRISON TOWN HALL, 3792 PARK RD AGENDA",medium,"MORRISON TOWN HALL, 3792 PARK RD AGENDA"
Morrison_Town_Board_2026-05-14.pdf,M-684-1. The variance request is to allow construction of an attached garage which would fall into the front yard setback area.,medium,M-684-1. The variance request is to allow construction of an attached garage which would fall into the front yard setback area.
Nasewaupee_Town_Board_2026-05-13.pdf,"Nasewaupee Town Hall, 3388 County PD *AMENDED Agenda",medium,"Nasewaupee Town Hall, 3388 County PD *AMENDED Agenda"
Nasewaupee_Town_Board_2026-05-13.pdf,Committee Meeting,medium,2026 Committee Meeting
Nasewaupee_Town_Board_2026-05-13.pdf,Discussion and action may occur on any agenda item unless otherwise noted.,medium,Discussion and action may occur on any agenda item unless otherwise noted.
Pensaukee_Town_Board_2026-05-12.docx,"Town Hall 4684 Brookside Rd, Abrams, WI 54101 (Tuesday) May 12, 2026, 6:00 PM Meeting called to Order",medium,"Town Hall 4684 Brookside Rd, Abrams, WI 54101 (Tuesday) May 12, 2026, 6:00 PM Meeting called to Order"
Pensaukee_Town_Board_2026-05-12.docx,Review road repair proposal from Local Pavement and consider award for spot repairs. Discuss possible crack seal and chip seal projects....,medium,Review road repair proposal from Local Pavement and consider award for spot repairs. Discuss possible crack seal and chip seal projects. Authorize bidding of selected roads projects based on estimated project costs.
Pensaukee_Town_Board_2026-05-12.docx,Review County road repair estimates. Updates Fire Department Recycling Center Planning Commission No meeting for May,medium,Review County road repair estimates. Updates Fire Department Recycling Center Planning Commission No meeting for May
Pensaukee_Town_Board_2026-05-12.docx,Road Crew,medium,Road Crew
Schleswig_Town_Board_2026-05-13.pdf,30P.M. - Schleswig Town Hall Agenda,medium,6:30P.M. - Schleswig Town Hall Agenda
Schleswig_Town_Board_2026-05-13.pdf,Building permits,medium,11. Building permits
Schleswig_Town_Board_2026-05-13.pdf,Roads Update,medium,12. Roads Update
Schleswig_Town_Board_2026-05-13.pdf,Road bids Tree cutting quotes,medium,Road bids Tree cutting quotes
Schleswig_Town_Board_2026-05-13.pdf,Wilke Lake Culvert Repairs,medium,Wilke Lake Culvert Repairs
Schleswig_Town_Board_2026-05-13.pdf,Planning Committee Update,medium,14. Planning Committee Update
Schleswig_Town_Board_2026-05-13.pdf,"Town Board discussion, consideration, and adoption of resolution regarding current",medium,"Town Board discussion, consideration, and adoption of resolution regarding current"
Sevastopol_Town_Board_2026-05-15.pdf,00 p.m. at the Town of Washington 910 Main Road Rutledge Room at the Community Center. Members of the Sevastopol Town Board of Supervisor...,medium,4:00 p.m. at the Town of Washington 910 Main Road Rutledge Room at the Community Center. Members of the Sevastopol Town Board of Supervisors and/or its sub-units
Sevastopol_Town_Board_2026-05-18.pdf,Sevastopol Town Hall,medium,Sevastopol Town Hall
Sister_Bay_Village_Board_2026-05-14.pdf,Courtesy Review; Marina Building; 10733 Bay Shore Drive,medium,a) Courtesy Review; Marina Building; 10733 Bay Shore Drive
Sister_Bay_Village_Board_2026-05-14.pdf,"Standard Zoning Permit; Door County Housing Partnership, Inc.; 2407 Ava Hope Trail",medium,"f) Standard Zoning Permit; Door County Housing Partnership, Inc.; 2407 Ava Hope Trail"
Sister_Bay_Village_Board_2026-05-14.pdf,"Matters to be Placed on a Future Agenda or Referred to a Committee, Official or Employee",medium,"6. Matters to be Placed on a Future Agenda or Referred to a Committee, Official or Employee"
Sister_Bay_Village_Board_2026-05-14.pdf,"at administrator@sisterbaywi.gov. To submit letters in support or opposition of an agenda item that is not part of a public hearing,",medium,"at administrator@sisterbaywi.gov. To submit letters in support or opposition of an agenda item that is not part of a public hearing,"
Sister_Bay_Village_Board_2026-05-14.pdf,email adminassist@sisterbaywi.gov by 4:00 pm the day before the meeting; letters regarding a public hearing must be received by 4:00 pm t...,medium,"email adminassist@sisterbaywi.gov by 4:00 pm the day before the meeting; letters regarding a public hearing must be received by 4:00 pm the Thursday before the hearing. It is possible that members of, or quorum of, other governmental bodies may attend the meeting"
Two_Rivers_Town_Board_2026-05-12.pdf,TWO CREEKS TOWN HALL,medium,TWO CREEKS TOWN HALL
Two_Rivers_Town_Board_2026-05-12.pdf,"E.TAPAWINGO ROAD, MISHICOT, WI 54228 May 12, 2026 AT 7:00 P.M. AGENDA: Call Board of Review to Order",medium,"5128 E.TAPAWINGO ROAD, MISHICOT, WI 54228 May 12, 2026 AT 7:00 P.M. AGENDA: Call Board of Review to Order"
Union_Town_Board_2026-05-13.pdf,Licenses,medium,9. Licenses
Union_Town_Board_2026-05-13.pdf,Class B Beer & Liquor License,medium,a. Class B Beer & Liquor License
Union_Town_Board_2026-05-13.pdf,Chaudoir s Dock,medium,i. Chaudoir s Dock
Union_Town_Board_2026-05-13.pdf,Operator s License Ann Jinkins,medium,b. Operator s License Ann Jinkins
Union_Town_Board_2026-05-13.pdf,Building/Zoning Permits,medium,10. Building/Zoning Permits
Union_Town_Board_2026-05-13.pdf,Town Roads,medium,12. Town Roads
Union_Town_Board_2026-05-13.pdf,Town Hall Website: townofuniondoorwi.gov,medium,Town Hall Website: townofuniondoorwi.gov
Union_Town_Board_2026-05-13.pdf,Discussion and action may occur on any agenda item unless otherwise noted. Deviation from order may occur.,medium,Discussion and action may occur on any agenda item unless otherwise noted. Deviation from order may occur.
Union_Town_Board_2026-05-14.pdf,Posted 5/11/26 - Town Hall,medium,Posted 5/11/26 - Town Hall
Union_Town_Board_2026-05-14.pdf,Discussion and action may occur on any agenda item unless otherwise noted. Deviation from order may occur.,medium,Discussion and action may occur on any agenda item unless otherwise noted. Deviation from order may occur.
Winneconne_Town_Board_2026-05-13.pdf,LOCATION: WINNECONNE TOWN HALL,medium,LOCATION: WINNECONNE TOWN HALL
Winneconne_Town_Board_2026-05-13.pdf,"COUNTY ROAD M, WINNECONNE THE PLAN COMMISSION WILL DISCUSS AND MAY ACT ON THE FOLLOWING",medium,"6494 COUNTY ROAD M, WINNECONNE THE PLAN COMMISSION WILL DISCUSS AND MAY ACT ON THE FOLLOWING:"
Winneconne_Town_Board_2026-05-13.pdf,MAJOR LAND DIVISION & MINOR LAND DIVISION ORDINANCES,medium,8. MAJOR LAND DIVISION & MINOR LAND DIVISION ORDINANCES
Winneconne_Town_Board_2026-05-13.pdf,"Posted May 8, 2026 at the Winneconne Town Hall, the Butte des Morts Lions Club and the Butte des Morts Post Office Yvonne Zobel, Town Clerk",medium,"Posted May 8, 2026 at the Winneconne Town Hall, the Butte des Morts Lions Club and the Butte des Morts Post Office Yvonne Zobel, Town Clerk"
